english,spanish,english_length,spanish_length
applications are due by monday .,las solicitudes vencen el lunes .,6,6
mary told me that she was glad to see me .,mary me dijo que se alegraba de verme .,11,9
the front door was open .,la puerta delantera estaba abierta .,6,6
i don t know if he s a doctor .,no sé si es médico .,10,6
she doesn t know how to play golf .,ella no sabe jugar al golf .,9,7
what foreign languages are you studying ?,¿ qué idiomas extranjeros estudias ?,7,6
nobody can help me .,nadie puede ayudarme .,5,4
i can take care of you .,puedo cuidarte .,7,3
can you finish by then ?,¿ habrás terminado para entonces ?,6,6
she looked at me .,ella me miró .,5,4
do you prefer being here or at the beach ?,¿ prefieres estar aquí o en la playa ?,10,9
the crowd got out of control and broke through the fence .,la multitud se salió de control y pasó por sobre la cerca .,12,13
i just don t want to talk to you .,sencillamente no quiero hablar contigo .,10,6
the accident damaged her car s front wheels .,el accidente dañó las ruedas delanteras de su coche .,9,10
my brother has been sick since yesterday .,mi hermano está enfermo desde ayer .,8,7
i want to go with you .,quiero ir con vos .,7,5
i m ready to go .,estoy listo para irme .,6,5
don t believe anything tom says .,no creas nada de lo que dice tom .,7,9
i apologized .,me disculpé .,3,3
tom can t speak french without making mistakes .,tom no puede hablar francés sin cometer errores .,9,9
i hurried .,me apuré .,3,3
tom is walking his dog .,tom está paseando a su perro .,6,7
your son is an angel .,tu hijo es un ángel .,6,6
"in 1917 , europe was at war .","en 1917 , europa estaba en guerra .",8,8
"if you touch that wire , you will receive a shock .","si tocas el cable , te va a dar la corriente .",12,12
i don t put sugar in my coffee .,no me echo azúcar en el café .,9,8
has your dog ever bitten anyone ?,¿ ha mordido tu perro a alguien alguna vez ?,7,10
that is no business of his .,eso no tiene nada que ver con él .,7,9
tom looks like a banker .,tomás se parece a un banquero .,6,7
it was tom who broke the window .,fue tom quien rompió la ventana .,8,7
i m probably the one who ll have to do that .,probablemente seré yo el que tendrá que hacer eso .,12,10
the mother kissed her baby .,la madre besó a su bebé .,6,7
tom said he regretted not following mary s advice .,tom dijo que lamentaba no haber seguido el consejo de maría .,10,12
i wish it weren t true .,desearía que no fuera cierto .,7,6
the negotiations fell through .,las negociaciones naufragaron .,5,4
she divided the cake into six pieces .,ella dividió la torta en seis pedazos .,8,8
how about this color ?,¿ qué tal este color ?,5,6
workers in france receive four weeks of paid vacation each year .,"en francia , los trabajadores tienen cuatro semanas de vacaciones pagadas al año .",12,14
light the candle .,encienda la candela .,4,4
it s because of you that we were late .,llegamos tarde por tu culpa .,10,6
there s an emergency .,hay una emergencia .,5,4
he talks a lot .,él habla mucho .,5,4
we saw a dim light in the distance .,vimos una débil luz en la distancia .,9,8
he s not my boyfriend . he s my brother .,él no es mi novio . es mi hermano .,11,10
do you want me to explain it to you ?,¿ querés que te lo explique ?,10,7
let tom know where i am .,dígale a tom dónde estoy .,7,6
you don t have to go to the party unless you want to .,no tienes que ir a la fiesta a menos que quieras .,14,12
"judging from the expression on her face , she is worried .","juzgando por la expresión de su cara , parece preocupada .",12,11
where am i ?,¿ en dónde estoy ?,4,5
he was attacked by a shark .,le atacó un tiburón .,7,5
deer are fairly intelligent .,los ciervos son bastante inteligentes .,5,6
set the table .,pon la mesa .,4,4
she blushed .,ella se puso roja .,3,5
this rug is handmade .,esta alfombra está hecha a mano .,5,7
i m not from this world .,no soy de este mundo .,7,6
you re so arrogant .,eres una presumida .,5,4
i m honored to be here .,me siento honrado de estar aquí .,7,7
tom became blind .,tom se quedó ciego .,4,5
the medicine worked marvels .,la medicina hizo maravillas .,5,5
i m a little child .,soy una niña pequeña .,6,5
have another .,toma otra .,3,3
is it true that you complained to the principal ?,¿ es cierto que te quejaste con el director ?,10,10
i think i added too much sugar .,creo que le puse demasiado azúcar .,8,7
"if anyone can do it , it s tom .","si alguien puede hacerlo , ese es tom .",10,9
i still read every day .,sigo leyendo cada día .,6,5
that s tom s mother .,esa es la madre de tom .,6,7
can you produce any evidence that he was not at home that night ?,¿ puedes aportar alguna prueba de que él no estaba en casa esa noche ?,14,15
tom didn t want to work in boston .,tom no quería trabajar en boston .,9,7
"tom , are you there ?","tom , ¿ estás ahí ?",6,6
isn t that what you want ?,¿ no es eso lo que querés ?,7,8
one of the kittens caught a moth .,uno de los gatitos capturó una polilla .,8,8
what are you looking at ?,¿ qué miras ?,6,4
the difference between you and me is that i have class .,la diferencia entre tú y yo es que yo tengo clase .,12,12
i m a good sailor .,soy un buen marinero .,6,5
tom visited mary on october 20th .,tom visitó a mary el 20 de octubre .,7,9
it was a big surprise .,fue una gran sorpresa .,6,5
you ve grown so tall .,sos demasiado alto .,6,4
i was just remembering .,solo estaba recordando .,5,4
i like english .,me gusta el inglés .,4,5
keep the money in a safe place .,guarda el dinero en un sitio seguro .,8,8
we entered the room by the back door .,entramos en la habitación por la puerta trasera .,9,9
my son has always been very independent .,mi hijo siempre ha sido muy independiente .,8,8
i didn t know how to express myself .,no sabía cómo expresarme .,9,5
are you satisfied ?,¿ estáis satisfechos ?,4,4
tom owned a ranch .,tom poseía un rancho .,5,5
i m not going to take that risk .,no voy a correr ese riesgo .,9,7
no one hugged tom .,nadie abrazó a tom .,5,5
please teach me how to drive .,"por favor , enséñame a conducir .",7,7
tom has been in boston for a week .,tom lleva una semana en boston .,9,7
run away as fast as you can .,¡ vete corriendo tan rápido como puedas !,8,8
what time does boarding begin ?,¿ a qué hora empieza el embarque ?,6,8
"listen , i have to go .","mirá , me tengo que ir .",7,7
are you happy with that ?,¿ estás feliz con eso ?,6,6
i m going to tell you everything .,voy a contártelo todo .,8,5
there was a terrible accident yesterday .,ayer hubo un accidente lamentable .,7,6
it s better not to say anything about her to him .,es mejor no decirle a él nada acerca de ella .,12,11
go and rest .,ve a descansar .,4,4
"i used to smoke a lot , but i have given up smoking now .","solía fumar mucho , pero ahora lo he dejado .",15,10
tom lost a lot of weight .,tom perdió mucho peso .,7,5
"i had never been abroad before , so everything seemed strange to me .","nunca antes había estado en el extranjero , así que todo me parecía extraño .",14,15
stand up !,¡ de pie !,3,4
don t make fun of them .,no te burles de ellos .,7,6
keep an eye on my suitcase while i buy my ticket .,échale un ojo a mi maleta mientras compro mi billete .,12,11
obey your parents .,obedezca a sus padres .,4,5
your refusal to help complicated matters .,tu negativa a ayudar complicó las cosas .,7,8
"she asked him to come into her house , but he refused .","ella le pidió que entrara a su casa , pero él se negó .",13,14
what are you waiting for ?,¿ qué estás esperando ?,6,5
it s work .,es trabajo .,4,3
last month our twenty year old daughter gave birth to a baby girl .,"el mes pasado , nuestra hija de 20 años dio a luz una niña .",14,15
the police have made hundreds of drug busts across the country .,la policía ha hecho cientos de redadas de drogas a lo largo del país .,12,15
who did you vote for in the election ?,¿ por quién votaste en las elecciones ?,9,8
i m thrilled .,estoy contentísimo .,4,3
what is your dream ?,¿ cuál es tu sueño ?,5,6
tom certainly talks a lot .,tom ciertamente habla un montón .,6,6
you ve got to be kidding me !,¡ tienes que estar de coña !,8,7
the offer was refused .,la oferta fue rechazada .,5,5
the frame still has to be sanded .,todavía falta lijar el marco .,8,6
i went there to meet him .,fui ahí para reunirme con él .,7,7
bacteria are microscopic organisms .,las bacterias son microorganismos .,5,5
what tom really wanted was some time with his children .,lo que tom verdaderamente quería era pasar algo de tiempo con sus hijos .,11,14
he has very regular features .,tiene las facciones muy correctas .,6,6
tom is now a multimillionaire .,ahora tom es un multimillonario .,6,6
i ve always played with my brother .,siempre he jugado con mi hermano .,8,7
we need to clean the car .,necesitamos lavar el auto .,7,5
i love snow .,me encanta la nieve .,4,5
he who lives by the sword will die by the sword .,el que a hierro mata a hierro muere .,12,9
tom doesn t speak french as fluently as mary does .,tom no habla francés con tanta fluidez como mary .,11,10
let s give it a whirl .,probemos suerte .,7,3
there is a bathroom here .,hay baño aquí .,6,4
i m only going to say this once .,solo voy a decir esto una vez .,9,8
i d like to talk to you about what happened at school yesterday .,me gustaría hablar contigo de lo que pasó ayer en la escuela .,14,13
we don t often eat out .,no salimos a comer a menudo .,7,7
please don t take pictures here .,"por favor , no saques fotos aquí .",7,8
he s playing a dangerous game .,él está jugando a un juego peligroso .,7,8
i don t feel like talking .,no tengo ganas de hablar .,7,6
all i drank was coffee .,todo lo que bebí fue café .,6,7
my brother didn t have the courage to swim across the river .,mi hermano no tuvo el valor para cruzar nadando el río .,13,12
how much money did tom offer you ?,¿ cuánto dinero te ofreció tom ?,8,7
the people were evacuated because of the flood .,la gente fue evacuada a causa de la inundación .,9,10
he asked me if i liked mathematics .,él me preguntó si me gustaban las matemáticas .,8,9
this is a hard question to answer .,es una pregunta difícil de responder .,8,7
don t you like it ?,¿ no te gusta ?,6,5
let s have a party next monday .,hagamos una fiesta este lunes .,8,6
i ll finish the work in a week or less .,yo terminaré con el trabajo dentro de una semana .,11,10
"you never say what you really think , do you ?","nunca dices lo que piensas , ¿ no ?",11,9
i bought lots of books .,yo compré muchos libros .,6,5
she is good at skiing .,ella es buena esquiando .,6,5
tom inherited all of his father s property .,tom heredó todas las características de su padre .,9,9
he is very difficult to get along with .,es muy difícil llevarse bien con él .,9,8
do you have any imported beer ?,¿ tiene alguna cerveza extranjera ?,7,6
reading your letter made me happy .,leer tu carta me hizo muy feliz .,7,8
my name is tom jackson .,mi nombre es tom jackson .,6,6
i wonder if she ll accept a belated birthday present .,me pregunto si ella aceptará un regalo de cumpleaños retrasado .,11,11
there s nothing worse than that .,no hay nada peor que eso .,7,7
there wasn t a single book in the room .,no había un solo libro en la habitación .,10,9
the brakes didn t respond .,no me respondieron los frenos .,6,6
grandpa bought it for me !,¡ me lo ha comprado el abuelo !,6,8
tom skipped breakfast because he was in a hurry .,tom se saltó el desayuno porque tenía prisa .,10,9
finish your homework before you go to bed .,acaba los deberes antes de irte a la cama .,9,10
you desperately need a vacation .,necesitas urgentemente unas vacaciones .,6,5
it went very well .,fue muy bien .,5,4
